取引先番号,取引先名称,与信スコア,都道府県
CUS00002,○○○01株式会社,28,新潟県
CUS00003,○○○02株式会社,13,島根県
CUS00006,合同会社○○○03,4,福井県
CUS00010,合同会社○○○04,27,岐阜県
CUS00013,株式会社○○○05,27,山梨県
CUS00014,○○○06,1,島根県
CUS00016,○○○07,44,山形県
CUS00017,合同会社○○○08,9,山梨県
CUS00020,株式会社○○○09,7,福島県
CUS00024,株式会社○○○10,13,高知県
CUS00027,株式会社○○○11,16,福岡県
CUS00033,○○○12,26,高知県
CUS00038,○○○13株式会社,9,沖縄県
CUS00042,株式会社○○○14,15,富山県
CUS00050,○○○15株式会社,60,岡山県
CUS00054,○○○16,10,島根県
CUS00055,○○○17,48,京都府
CUS00060,○○○18,29,岩手県
CUS00061,株式会社○○○19,39,京都府
CUS00062,株式会社○○○20,57,大阪府
CUS00063,株式会社○○○21,7,茨城県
CUS00067,○○○22株式会社,33,佐賀県
CUS00068,株式会社○○○23,41,大分県
CUS00069,株式会社○○○24,24,宮崎県
CUS00076,○○○25株式会社,27,秋田県
CUS00082,○○○26株式会社,12,熊本県
CUS00083,○○○27,19,岩手県
CUS00091,株式会社○○○28,12,新潟県
CUS00092,○○○29,30,山口県
CUS00098,株式会社○○○30,12,宮崎県
CUS00103,○○○31株式会社,13,宮崎県
CUS00104,○○○32株式会社,7,三重県
CUS00108,○○○33株式会社,39,徳島県
CUS00109,株式会社○○○34,10,山梨県
CUS00118,○○○35株式会社,22,秋田県
CUS00122,株式会社○○○36,7,滋賀県
CUS00123,○○○37株式会社,32,山形県
CUS00124,株式会社○○○38,22,福井県
CUS00127,○○○39,7,岐阜県
CUS00130,株式会社○○○40,27,秋田県
CUS00131,株式会社○○○41,83,山口県
CUS00132,株式会社○○○42,68,奈良県
CUS00135,○○○43株式会社,33,岩手県
CUS00136,○○○44合同会社,8,茨城県
CUS00137,株式会社○○○45,9,大阪府
CUS00141,○○○46株式会社,74,高知県
CUS00143,株式会社○○○47,13,石川県
CUS00145,○○○48,99,静岡県
CUS00148,○○○49株式会社,25,宮城県
CUS00152,○○○50,9,鹿児島県
CUS00154,○○○51,1,大分県
CUS00159,○○○52,48,北海道
CUS00162,○○○53,46,京都府
CUS00169,○○○54株式会社,9,鹿児島県
CUS00173,○○○55株式会社,31,秋田県
CUS00181,○○○56,58,鹿児島県
CUS00183,○○○57,50,長崎県
CUS00186,株式会社○○○58,10,兵庫県
CUS00191,株式会社○○○59,22,長野県
CUS00195,○○○60,10,茨城県
CUS00197,○○○61株式会社,47,神奈川県
CUS00199,○○○62株式会社,6,長崎県
CUS00201,○○○63,11,長崎県
CUS00207,○○○64,41,福岡県
CUS00212,○○○65合同会社,19,北海道
CUS00215,○○○66,31,岩手県
CUS00216,○○○67株式会社,84,愛媛県
CUS00225,○○○68合同会社,3,長崎県
CUS00235,○○○69,63,沖縄県
CUS00238,○○○70,29,富山県
CUS00245,○○○71株式会社,45,山口県
CUS00253,○○○72,5,北海道
CUS00254,○○○73株式会社,22,山口県
CUS00255,株式会社○○○74,14,富山県
CUS00256,○○○75株式会社,5,岡山県
CUS00259,○○○76,15,沖縄県
CUS00262,○○○77,42,島根県
CUS00275,○○○78合同会社,24,岐阜県
CUS00279,○○○79合同会社,18,滋賀県
CUS00281,○○○80株式会社,11,栃木県
CUS00282,株式会社○○○81,16,福井県
CUS00283,○○○82,57,岩手県
CUS00286,○○○83,6,東京都
CUS00287,株式会社○○○84,37,高知県
CUS00291,合同会社○○○85,61,熊本県
CUS00295,○○○86,25,島根県
CUS00301,株式会社○○○87,7,長野県
CUS00302,○○○88株式会社,9,福岡県
CUS00304,合同会社○○○89,38,愛知県
CUS00311,○○○90,15,山梨県
CUS00312,○○○91,57,高知県
CUS00317,株式会社○○○92,33,新潟県
CUS00327,株式会社○○○93,34,山口県
CUS00330,○○○94,45,東京都
CUS00331,株式会社○○○95,2,青森県
CUS00335,○○○96株式会社,4,大分県
CUS00339,合同会社○○○97,96,滋賀県
CUS00342,○○○98株式会社,52,沖縄県
CUS00346,○○○99株式会社,7,大分県
CUS00350,○○○100株式会社,52,大阪府
CUS00353,株式会社○○○101,20,京都府
CUS00356,○○○102株式会社,16,大阪府
CUS00357,○○○103,1,青森県
CUS00358,○○○104株式会社,35,愛媛県
CUS00359,○○○105株式会社,68,富山県
CUS00372,○○○106,1,愛知県
CUS00375,○○○107株式会社,13,福井県
CUS00376,株式会社○○○108,35,福岡県
CUS00381,○○○109,9,佐賀県
CUS00384,株式会社○○○110,13,高知県
CUS00390,○○○111株式会社,56,大分県
CUS00397,○○○112,15,和歌山県
CUS00400,○○○113,34,奈良県
CUS00407,株式会社○○○114,21,岐阜県
CUS00410,○○○115株式会社,5,岡山県
CUS00413,○○○116,19,群馬県
CUS00417,○○○117,4,島根県
CUS00422,株式会社○○○118,8,兵庫県
CUS00424,○○○119株式会社,11,宮城県
CUS00427,○○○120,12,岐阜県
CUS00431,株式会社○○○121,29,愛媛県
CUS00437,○○○122,26,栃木県
CUS00439,○○○123,38,山梨県
CUS00442,○○○124株式会社,6,佐賀県
CUS00452,○○○125株式会社,12,静岡県
CUS00454,○○○126合同会社,74,神奈川県
CUS00455,株式会社○○○127,5,沖縄県
CUS00457,株式会社○○○128,97,京都府
CUS00463,株式会社○○○129,77,石川県
CUS00469,○○○130,3,千葉県
CUS00470,株式会社○○○131,35,長崎県
CUS00479,○○○132,56,茨城県
CUS00480,合同会社○○○133,19,岡山県
CUS00481,○○○134,24,長野県
CUS00482,○○○135株式会社,10,和歌山県
CUS00489,○○○136株式会社,35,奈良県
CUS00490,株式会社○○○137,13,福島県
CUS00496,○○○138株式会社,58,岩手県
CUS00497,○○○139,56,和歌山県
CUS00499,株式会社○○○140,16,埼玉県
CUS00500,○○○141合同会社,95,山梨県
CUS00512,株式会社○○○142,4,山口県
CUS00513,○○○143株式会社,60,北海道
CUS00515,株式会社○○○144,47,愛媛県
CUS00521,株式会社○○○145,85,徳島県
CUS00527,株式会社○○○146,41,高知県
CUS00528,○○○147合同会社,67,岡山県
CUS00531,○○○148,73,徳島県
CUS00535,○○○149,4,愛知県
CUS00537,○○○150株式会社,10,長崎県
CUS00538,○○○151株式会社,4,茨城県
CUS00542,株式会社○○○152,65,茨城県
CUS00547,○○○153株式会社,26,香川県
CUS00548,○○○154,19,神奈川県
CUS00549,○○○155株式会社,15,新潟県
CUS00551,○○○156,3,兵庫県
CUS00552,○○○157,9,和歌山県
CUS00555,株式会社○○○158,3,兵庫県
CUS00561,○○○159株式会社,16,宮崎県
CUS00562,株式会社○○○160,77,千葉県
CUS00563,株式会社○○○161,26,佐賀県
CUS00564,株式会社○○○162,14,高知県
CUS00566,株式会社○○○163,19,宮崎県
CUS00568,○○○164合同会社,41,香川県
CUS00569,○○○165株式会社,90,宮崎県
CUS00575,○○○166株式会社,6,京都府
CUS00576,株式会社○○○167,6,長崎県
CUS00578,株式会社○○○168,5,石川県
CUS00585,株式会社○○○169,16,三重県
CUS00586,株式会社○○○170,27,徳島県
CUS00587,株式会社○○○171,20,香川県
CUS00592,株式会社○○○172,28,群馬県
CUS00593,○○○173,1,北海道
CUS00604,合同会社○○○174,7,千葉県
CUS00608,○○○175,3,三重県
CUS00610,株式会社○○○176,4,山形県
CUS00611,○○○177株式会社,10,栃木県
CUS00613,○○○178株式会社,3,和歌山県
CUS00617,合同会社○○○179,14,神奈川県
CUS00619,合同会社○○○180,41,神奈川県
CUS00626,○○○181株式会社,22,鹿児島県
CUS00627,○○○182,40,岐阜県
CUS00630,○○○183株式会社,25,福岡県
CUS00636,○○○184株式会社,18,佐賀県
CUS00640,株式会社○○○185,1,青森県
CUS00641,○○○186合同会社,59,北海道
CUS00644,株式会社○○○187,70,鹿児島県
CUS00646,○○○188,26,沖縄県
CUS00647,○○○189,6,京都府
CUS00648,株式会社○○○190,14,高知県
CUS00657,○○○191株式会社,29,千葉県
CUS00664,○○○192株式会社,15,北海道
CUS00669,○○○193株式会社,22,石川県
CUS00677,○○○194株式会社,17,愛媛県
CUS00681,○○○195株式会社,40,沖縄県
CUS00682,○○○196,44,岡山県
CUS00684,○○○197,27,山口県
CUS00700,株式会社○○○198,15,宮城県
CUS00705,株式会社○○○199,1,北海道
CUS00714,○○○200,48,和歌山県
CUS00718,○○○201,16,香川県
CUS00729,株式会社○○○202,21,京都府
CUS00732,株式会社○○○203,56,兵庫県
CUS00733,○○○204株式会社,22,秋田県
CUS00735,○○○205株式会社,11,福井県
CUS00737,○○○206,68,福井県
CUS00739,株式会社○○○207,10,福井県
CUS00744,株式会社○○○208,7,京都府
CUS00745,株式会社○○○209,95,鳥取県
CUS00752,○○○210株式会社,82,岩手県
CUS00755,○○○211,7,福島県
CUS00763,合同会社○○○212,3,奈良県
CUS00766,株式会社○○○213,29,東京都
CUS00770,○○○214株式会社,18,沖縄県
CUS00771,株式会社○○○215,83,滋賀県
CUS00772,株式会社○○○216,54,岩手県
CUS00774,○○○217株式会社,2,静岡県
CUS00775,○○○218株式会社,39,山口県
CUS00779,○○○219株式会社,15,宮崎県
CUS00780,○○○220,3,奈良県
CUS00782,○○○221株式会社,32,栃木県
CUS00783,株式会社○○○222,46,沖縄県
CUS00784,○○○223,41,石川県
CUS00790,○○○224株式会社,17,香川県
CUS00792,○○○225株式会社,24,京都府
CUS00797,○○○226,31,長崎県
CUS00801,○○○227,36,東京都
CUS00805,株式会社○○○228,26,神奈川県
CUS00810,株式会社○○○229,6,茨城県
CUS00815,○○○230,1,新潟県
CUS00821,○○○231,22,滋賀県
CUS00822,○○○232株式会社,15,滋賀県
CUS00826,○○○233,13,山梨県
CUS00840,○○○234株式会社,6,滋賀県
CUS00842,○○○235,19,宮崎県
CUS00843,○○○236株式会社,35,広島県
CUS00844,○○○237株式会社,12,佐賀県
CUS00850,○○○238,11,奈良県
CUS00851,○○○239株式会社,5,大阪府
CUS00853,株式会社○○○240,29,和歌山県
CUS00863,○○○241株式会社,1,千葉県
CUS00866,○○○242,60,岡山県
CUS00868,○○○243,2,宮崎県
CUS00870,株式会社○○○244,46,新潟県
CUS00871,○○○245合同会社,3,富山県
CUS00874,○○○246,39,三重県
CUS00875,合同会社○○○247,8,徳島県
CUS00877,株式会社○○○248,48,神奈川県
CUS00878,○○○249,35,広島県
CUS00879,○○○250株式会社,21,福島県
CUS00880,○○○251,52,鳥取県
CUS00883,○○○252株式会社,6,大分県
CUS00884,○○○253,23,大阪府
CUS00888,株式会社○○○254,15,福島県
CUS00891,○○○255,20,静岡県
CUS00900,株式会社○○○256,20,沖縄県
CUS00901,○○○257,60,秋田県
CUS00902,株式会社○○○258,11,愛媛県
CUS00903,株式会社○○○259,9,鳥取県
CUS00907,○○○260株式会社,32,熊本県
CUS00908,○○○261株式会社,23,長野県
CUS00911,○○○262,71,静岡県
CUS00919,○○○263株式会社,6,埼玉県
CUS00920,○○○264,41,福島県
CUS00927,○○○265,42,北海道
CUS00930,○○○266合同会社,32,長崎県
CUS00935,○○○267,26,茨城県
CUS00940,株式会社○○○268,12,兵庫県
CUS00941,○○○269株式会社,59,青森県
CUS00945,○○○270,76,福岡県
CUS00946,○○○271株式会社,47,富山県
CUS00950,○○○272株式会社,5,石川県
CUS00951,株式会社○○○273,20,石川県
CUS00952,○○○274株式会社,24,鹿児島県
CUS00955,○○○275合同会社,33,石川県
CUS00959,○○○276,68,大阪府
CUS00961,○○○277株式会社,68,三重県
CUS00962,株式会社○○○278,9,長崎県
CUS00970,合同会社○○○279,19,愛媛県
CUS00979,合同会社○○○280,35,岐阜県
CUS00980,○○○281株式会社,49,高知県
CUS00981,合同会社○○○282,32,三重県
CUS00982,○○○283株式会社,64,広島県
CUS00986,○○○284合同会社,65,長崎県
CUS00988,株式会社○○○285,72,和歌山県
CUS00989,株式会社○○○286,1,神奈川県
CUS00990,株式会社○○○287,8,大阪府
CUS00997,株式会社○○○288,7,福島県
CUS01000,○○○289合同会社,1,鹿児島県
CUS01001,○○○290株式会社,79,新潟県
CUS01002,○○○291株式会社,9,北海道
CUS01006,○○○292株式会社,44,福岡県
CUS01013,○○○293株式会社,23,新潟県
CUS01014,○○○294,63,青森県
CUS01015,株式会社○○○295,5,群馬県
CUS01021,○○○296株式会社,85,群馬県
CUS01030,○○○297株式会社,84,宮崎県
CUS01039,○○○298株式会社,31,香川県
CUS01041,○○○299株式会社,66,山形県
CUS01042,株式会社○○○300,38,愛媛県
CUS01043,○○○301,30,茨城県
CUS01047,○○○302株式会社,37,埼玉県
CUS01053,○○○303,21,三重県
CUS01054,○○○304株式会社,67,山梨県
CUS01059,○○○305株式会社,43,埼玉県
CUS01060,○○○306,13,静岡県
CUS01061,○○○307,74,長野県
CUS01062,○○○308,12,三重県
CUS01065,株式会社○○○309,11,島根県
CUS01066,○○○310株式会社,46,滋賀県
CUS01067,○○○311株式会社,18,静岡県
CUS01073,○○○312,8,千葉県
CUS01080,株式会社○○○313,2,和歌山県
CUS01085,株式会社○○○314,6,佐賀県
CUS01089,株式会社○○○315,59,栃木県
CUS01091,○○○316,15,茨城県
CUS01097,○○○317株式会社,19,福岡県
CUS01101,○○○318株式会社,24,島根県
CUS01106,株式会社○○○319,29,埼玉県
CUS01108,○○○320株式会社,35,茨城県
CUS01109,○○○321株式会社,11,愛媛県
CUS01110,合同会社○○○322,100,長野県
CUS01115,○○○323,20,沖縄県
CUS01118,合同会社○○○324,3,兵庫県
CUS01125,○○○325株式会社,38,奈良県
CUS01126,○○○326株式会社,7,岐阜県
CUS01132,○○○327株式会社,27,静岡県
CUS01133,○○○328,36,大分県
CUS01134,○○○329,27,新潟県
CUS01138,○○○330,72,茨城県
CUS01145,○○○331,25,香川県
CUS01147,○○○332合同会社,60,佐賀県
CUS01148,株式会社○○○333,3,奈良県
CUS01150,株式会社○○○334,40,岩手県
CUS01151,株式会社○○○335,4,和歌山県
